Al,Franken,D,MN,alfranken,1
Amy,Klobuchar,D,MN,amyklobuchar,1
Barack,Obama,D,IL,BarackObama,1
Ben,Sasse,R,NE,BenSasse,3
Bernie,Sanders,D,VT,BernieSanders,3
Bill,Cassidy,R,LA,BillCassidy,1
Brian,Schatz,D,HI,brianschatz,3
Chris,Coons,D,DE,ChrisCoons,1
Chris,Murphy,D,CT,ChrisMurphyCT,1
Chuck,Grassley,R,IA,ChuckGrassley,5
Claire,McCaskill,D,MO,clairecmc,1
Hillary,Clinton,D,NY,HillaryClinton,3
Cory,Booker,D,NJ,CoryBooker,3
Cory,Gardner,R,CO,CoryGardner,5
David,Vitter,R,LA,DavidVitter,3
Evan,McMullin,I,UT,Evan_McMullin,3
Jeff,Flake,R,AZ,JeffFlake,1
Jerry,Moran,R,KS,JerryMoran,3
Jim,Inhofe,R,OK,jiminhofe,3
John,Boozman,R,AR,JohnBoozman,5
John,Cornyn,R,TX,JohnCornyn,3
Gary,Johnson,I,NM,GovGaryJohnson,3
Kelly,Ayotte,R,NH,KellyAyotte,1
Lindsey,Graham,R,SC,LindseyGrahamSC,3
Lisa,Murkowski,R,AK,lisamurkowski,5
Marco,Rubio,R,FL,marcorubio,3
Mark,Warner,D,VA,MarkWarner,3
Martin,Heinrich,D,NM,MartinHeinrich,1
Mazie,Hirono,D,HI,maziehirono,3
Mitch,McConnell,R,KY,McConnellPress,3
Mike,Crapo,R,ID,MikeCrapo,5
Orrin,Hatch,R,UT,OrrinHatch,7
Patty,Murray,D,WA,PattyMurray,1
Rand,Paul,R,KY,RandPaul,3
Rob,Portman,R,OH,robportman,1
Ron,Wyden,D,OR,RonWyden,1
Roy,Blunt,R,MO,RoyBlunt,5
Lamar,Alexander,R,TN,SenAlexander,3
Angus,King,I,ME,SenAngusKing,2
Tammy,Baldwin,D,WI,SenatorBaldwin,1
Barabara,Mikulski,D,MD,SenatorBarb,1
Barbara,Boxer,D,CA,SenatorBoxer,1
Richard,Burr,R,NC,SenatorBurr,7
Maria,Cantwell,D,WA,SenatorCantwell,1
Ben,Cardin,D,MD,SenatorCardin,3
Tom,Carper,D,DE,SenatorCarper,1
Susan,Collins,R,ME,SenatorCollins,2
Dick,Durbin,D,IL,SenatorDurbin,1
Mike,Enzi,R,WY,SenatorEnzi,1
Deb,Fischer,R,NE,SenatorFischer,5
Heidi,Heitkamp,D,ND,SenatorHeitkamp,1
Johnny,Isakson,R,GA,SenatorIsakson,6
Mark,Kirk,R,IL,SenatorKirk,1
James,Lankford,R,OK,SenatorLankford,3
Patrick,Leahy,D,VT,SenatorLeahy,3
Bob,Menendez,D,NJ,SenatorMenendez,1
Harry,Reid,D,NV,SenatorReid,1
Jim,Risch,D,ID,SenatorRisch,5
Mike,Rounds,R,SD,SenatorRounds,5
Jeff,Sessions,R,AL,SenatorSessions,1
Jeanne,Shaheen,D,NH,SenatorShaheen,1
Jon,Tester,D,MT,SenatorTester,1
Tim,Scott,R,SC,SenatorTimScott,3
Tom,Udall,D,NM,SenatorTomUdall,1
Roger,Wicker,R,MS,SenatorWicker,1
Michael,Bennet,D,CO,SenBennetCO,1
Bill,Nelson,D,FL,SenBillNelson,1
Richard,Blumenthal,D,CT,SenBlumenthal,1
Bob,Casey,D,PA,SenBobCasey,3
Bob,Corker,R,TN,SenBobCorker,5
Shelley,Moore Capito,R,WV,SenCapito,5
Dan,Coats,R,IN,SenDanCoats,3
Dan,Sullivan,R,AK,SenDanSullivan,5
David,Perdue,R,GA,sendavidperdue,6
Dean,Heller,R,NV,SenDeanHeller,3
Joe,Donnelly,D,IN,SenDonnelly,1
Dianne,Feinstein,D,CA,SenFeinstein,1
Gary,Peters,D,MI,SenGaryPeters,1
Kristen,Gillibrand,D,NY,SenGillibrand,0
Jack,Reed,D,RI,SenJackReed,4
Jeff,Merkley,D,OR,SenJeffMerkley,1
John,Barrasso,R,WY,SenJohnBarrasso,3
John,Hoeven,R,ND,SenJohnHoeven,5
John,McCain,R,AZ,SenJohnMcCain,1
John,Thune,R,SD,SenJohnThune,5
Joni,Ernst,R,IA,SenJoniErnst,5
Ed,Markey,D,MA,SenMarkey,3
Mike,Lee,R,UT,SenMikeLee,7
Pat,Roberts,R,KS,SenPatRoberts,3
Ron,Johnson,R,WI,SenRonJohnson,1
Bernie,Sanders,I,VT,SenSanders,1
Chuck,Schumer,D,NY,SenSchumer,3
Richard,Shelby,R,AL,SenShelby,3
Sherrod,Brown,D,OH,SenSherrodBrown,1
Tom,Cotton,R,AR,SenTomCotton,5
Pat,Toomey,R,PA,SenToomey,5
Elizabeth,Warren,D,MA,SenWarren,1
Sheldon,Whitehouse,D,RI,SenWhitehouse,4
Joe,Manchin,D,WV,Sen_JoeManchin,5
Debbie,Stabenow,D,MI,stabenow,1
Jill,Stein,I,MD,DrJillStein,3
Steve,Daines,R,MT,SteveDaines,3
Ted,Cruz,R,TX,tedcruz,3
Thad,Cochran,R,MS,SenThadCochran,1
Thom,Tillis,R,NC,ThomTillis,7
Tim,Kaine,D,VA,timkaine,1
Donald,Trump,R,NY,realDonaldTrump,1
