Patrick,Leahy,D,VT,@SenatorLeahy,11
Orrin,Hatch,R,UT,@OrrinHatch,8
Thad,Cochran,R,MS,@SenThadCochran,7
Chuck,Grassley,R,IA,@ChuckGrassley,15
Mitch,McConnell,R,KY,@McConnellPress,4
Barabara,Mikulski,D,MD,@SenatorBarb,12
Richard,Shelby,R,AL,@SenShelby,4
John,McCain,R,AZ,@SenJohnMcCain,11
Harry,Reid,D,NV,@SenatorReid,8
Dianne,Feinstein,D,CA,@SenFeinstein,0
Barbara,Boxer,D,CA,@SenatorBoxer,4
Patty,Murray,D,WA,@PattyMurray,1
Jim,Inhofe,R,OK,@jiminhofe,11
Ron,Wyden,D,OR,@RonWyden,1
Pat,Roberts,R,KS,@SenPatRoberts,7
Dick,Durbin,D,IL,@SenatorDurbin,11
Jack,Reed,D,RI,@SenJackReed,9
Jeff,Sessions,R,AL,@SenatorSessions,19
Susan,Collins,R,ME,@SenatorCollins,0
Mike,Enzi,R,WY,@SenatorEnzi,8
Chuck,Schumer,D,NY,@SenSchumer,11
Mike,Crapo,R,ID,@MikeCrapo,7
Bill,Nelson,D,FL,@SenBillNelson,4
Tom,Carper,D,DE,@SenatorCarper,18
Debbie,Stabenow,D,MI,@stabenow,6
Maria,Cantwell,D,WA,@SenatorCantwell,1
John,Cornyn,R,TX,@JohnCornyn,4
Lisa,Murkowski,R,AK,@lisamurkowski,0
Lindsey,Graham,R,SC,@LindseyGrahamSC,13
Lamar,Alexander,R,TN,@SenAlexander,15
Richard,Burr,R,NC,@SenatorBurr,7
John,Thune,R,SD,@SenJohnThune,7
Johnny,Isakson,R,GA,@SenatorIsakson,2
David,Vitter,R,LA,@DavidVitter,7
Bob,Menendez,D,NJ,@SenatorMenendez,12
Ben,Cardin,D,MD,@SenatorCardin,16
Bernie,Sanders,I,VT,@SenSanders,17
Sherrod,Brown,D,OH,@SenSherrodBrown,7
Bob,Casey,D,PA,@SenBobCasey,7
Bob,Corker,R,TN,@SenBobCorker,15
Claire,McCaskill,D,MO,@clairecmc,13
Amy,Klobuchar,D,MN,@amyklobuchar,2
Sheldon,Whitehouse,D,RI,@SenWhitehouse,9
Jon,Tester,D,MT,@SenatorTester,1
John,Barrasso,R,WY,@SenJohnBarrasso,4
Roger,Wicker,R,MS,@SenatorWicker,7
Tom,Udall,D,NM,@SenatorTomUdall,12
Jeanne,Shaheen,D,NH,@SenatorShaheen,18
Mark,Warner,D,VA,@MarkWarner,16
Jim,Risch,D,ID,@SenatorRisch,18
Jeff,Merkley,D,OR,@SenJeffMerkley,1
Michael,Bennet,D,CO,@SenBennetCO,1
Kristen,Gillibrand,D,NY,@SenGillibrand,12
Al,Franken,D,MN,@alfranken,6
Joe,Manchin,D,WV,@Sen_JoeManchin,18
Chris,Coons,D,DE,@ChrisCoons,9
Mark,Kirk,R,IL,@SenatorKirk,11
Dan,Coats,R,IN,@SenDanCoats,15
Roy,Blunt,R,MO,@RoyBlunt,2
Jerry,Moran,R,KS,@JerryMoran,1
Rob,Portman,R,OH,@robportman,19
John,Boozman,R,AR,@JohnBoozman,18
Pat,Toomey,R,PA,@SenToomey,7
John,Hoeven,R,ND,@SenJohnHoeven,9
Marco,Rubio,R,FL,@marcorubio,6
Ron,Johnson,R,WI,@SenRonJohnson,13
Rand,Paul,R,KY,@RandPaul,13
Richard,Blumenthal,D,CT,@SenBlumenthal,12
Mike,Lee,R,UT,@SenMikeLee,8
Kelly,Ayotte,R,NH,@KellyAyotte,18
Dean,Heller,R,NV,@SenDeanHeller,16
Brian,Schatz,D,HI,@brianschatz,1
Tim,Scott,R,SC,@SenatorTimScott,18
Tammy,Baldwin,D,WI,@SenatorBaldwin,1
Jeff,Flake,R,AZ,@JeffFlake,15
Joe,Donnelly,D,IN,@SenDonnelly,7
Chris,Murphy,D,CT,@ChrisMurphyCT,11
Mazie,Hirono,D,HI,@maziehirono,12
Martin,Heinrich,D,NM,@MartinHeinrich,1
Angus,King,I,ME,@SenAngusKing,16
Tim,Kaine,D,VA,@timkaine,16
Ted,Cruz,R,TX,@tedcruz,13
Elizabeth,Warren,D,MA,@SenWarren,1
Deb,Fischer,R,NE,@SenatorFischer,18
Heidi,Heitkamp,D,ND,@SenatorHeitkamp,12
Ed,Markey,D,MA,@SenMarkey,11
Cory,Booker,D,NJ,@CoryBooker,10
Shelley,Moore Capito,R,WV,@SenCapito,18
Gary,Peters,D,MI,@SenGaryPeters,18
Bill,Cassidy,R,LA,@BillCassidy,6
Cory,Gardner,R,CO,@CoryGardner,6
James,Lankford,R,OK,@SenatorLankford,7
Tom,Cotton,R,AR,@SenTomCotton,7
Steve,Daines,R,MT,@SteveDaines,1
Mike,Rounds,R,SD,@SenatorRounds,18
David,Perdue,R,GA,@sendavidperdue,18
Thom,Tillis,R,NC,@ThomTillis,13
Joni,Ernst,R,IA,@SenJoniErnst,18
Ben,Sasse,R,NE,@BenSasse,5
Dan,Sullivan,R,AK,@SenDanSullivan,0
Bernie,Sanders,D,VT,@BernieSanders,17
Gary,Johnson,I,NM,@GovGaryJohnson,13
Donald,Trump,R,NY,@realDonaldTrump,14
Hillary,Clinton,D,NY,@HillaryClinton,14
Jill,Stein,I,MD,@DrJillStein,17
Barack,Obama,D,IL,@BarackObama,8
Evan,McMullin,I,UT,@Evan_McMullin,3
