@SenatorLeahy,Patrick,Leahy,0.73,0.9,0.7,0.39,0.36,0.94,0.73,0.96,0.98,0.96,0.7,0.67,0.96,0.98,0.74,0.92,0.97,0.16,0.25,0.55,0.15,0.75,0.88,0.51,0.35,0.75,0.99,0.71,0.83,0.25,0.25,0.15,0.0,0.16,0.13,0.33,0.33,0.47,0.12,0.38,0.23,0.08,0.23,0.19,0.31,0.81,0.72,0.25,0.17,0.09,0.09,0.17
@OrrinHatch,Orrin,Hatch,0.83,0.88,0.42,0.05,0.09,0.97,0.82,0.96,0.98,0.97,0.87,0.63,0.97,0.98,0.85,0.86,0.99,0.26,0.14,0.77,0.47,0.63,0.81,0.58,0.27,0.83,0.98,0.69,0.97,0.03,0.04,0.05,0.02,0.03,0.01,0.15,0.08,0.19,0.05,0.03,0.02,0.01,0.04,0.07,0.04,0.28,0.68,0.13,0.13,0.03,0.01,0.05
@SenThadCochran,Thad,Cochran,0.68,0.92,0.53,0.2,0.18,0.92,0.71,0.96,0.99,0.99,0.79,0.81,0.99,0.99,0.73,0.95,0.99,0.32,0.2,0.67,0.26,0.77,0.84,0.63,0.35,0.78,0.98,0.8,0.9,0.08,0.11,0.08,0.0,0.06,0.05,0.23,0.41,0.42,0.08,0.43,0.09,0.08,0.37,0.2,0.18,0.85,0.8,0.29,0.15,0.03,0.04,0.16
@ChuckGrassley,Chuck,Grassley,0.64,0.86,0.5,0.15,0.27,0.97,0.7,0.71,0.95,0.94,0.4,0.6,0.92,0.98,0.84,0.86,0.98,0.13,0.37,0.59,0.28,0.58,0.51,0.23,0.16,0.48,0.98,0.62,0.7,0.36,0.3,0.15,0.0,0.11,0.12,0.22,0.14,0.33,0.06,0.07,0.12,0.05,0.25,0.07,0.1,0.63,0.49,0.07,0.19,0.11,0.03,0.09
@McConnellPress,Mitch,McConnell,0.64,0.93,0.47,0.2,0.21,0.89,0.67,0.96,0.98,0.96,0.82,0.67,0.98,0.99,0.87,0.81,0.99,0.19,0.22,0.68,0.41,0.76,0.91,0.44,0.51,0.75,0.99,0.63,0.94,0.1,0.19,0.13,0.0,0.07,0.04,0.09,0.18,0.06,0.08,0.1,0.03,0.01,0.13,0.12,0.14,0.81,0.76,0.17,0.06,0.05,0.01,0.03
@SenatorBarb,Barabara,Mikulski,0.56,0.97,0.62,0.43,0.16,0.93,0.71,0.93,0.99,0.99,0.66,0.8,0.99,0.98,0.79,0.98,0.99,0.46,0.21,0.8,0.31,0.85,0.89,0.64,0.47,0.93,0.99,0.71,0.91,0.03,0.03,0.04,0.0,0.02,0.03,0.4,0.5,0.69,0.15,0.51,0.19,0.25,0.42,0.2,0.32,0.92,0.86,0.27,0.28,0.09,0.02,0.49
@SenShelby,Richard,Shelby,0.8,0.9,0.59,0.23,0.21,0.93,0.67,0.97,0.99,0.96,0.88,0.64,0.97,0.98,0.91,0.91,0.98,0.26,0.21,0.68,0.33,0.83,0.9,0.56,0.39,0.73,0.99,0.82,0.95,0.17,0.16,0.09,0.0,0.05,0.05,0.15,0.3,0.18,0.06,0.12,0.06,0.02,0.22,0.05,0.07,0.75,0.79,0.26,0.14,0.04,0.04,0.09
@SenJohnMcCain,John,McCain,0.69,0.97,0.67,0.41,0.34,0.95,0.71,0.93,0.98,0.96,0.79,0.79,0.97,0.96,0.79,0.92,0.96,0.19,0.29,0.63,0.29,0.82,0.87,0.5,0.65,0.81,0.99,0.7,0.88,0.23,0.21,0.12,0.0,0.1,0.06,0.22,0.39,0.34,0.16,0.34,0.13,0.1,0.33,0.21,0.32,0.88,0.74,0.31,0.17,0.1,0.07,0.21
@SenatorReid,Harry,Reid,0.76,0.89,0.49,0.14,0.17,0.98,0.78,0.96,0.95,0.97,0.81,0.6,0.96,0.97,0.74,0.84,0.99,0.19,0.18,0.68,0.32,0.48,0.89,0.49,0.3,0.83,0.99,0.59,0.95,0.04,0.05,0.09,0.0,0.06,0.02,0.18,0.07,0.29,0.09,0.05,0.08,0.03,0.04,0.11,0.06,0.54,0.72,0.14,0.15,0.05,0.0,0.07
@SenFeinstein,Dianne,Feinstein,0.87,0.97,0.66,0.24,0.2,0.96,0.88,0.96,0.98,0.98,0.84,0.78,0.98,0.97,0.71,0.93,0.98,0.2,0.12,0.68,0.24,0.64,0.87,0.75,0.5,0.89,0.99,0.7,0.94,0.04,0.04,0.06,0.0,0.05,0.03,0.11,0.23,0.52,0.07,0.11,0.04,0.05,0.15,0.07,0.13,0.71,0.74,0.11,0.27,0.02,0.01,0.16
